Account,Invoice number,Invoice Date,Year,Month,Product,Quantity, Invoice amount 
1815,3626226,30/12/2013,2013,12,148,224," $35,204.40 "
1520,3817030,30/12/2013,2013,12,250,232," $82,957.58 "
1331,3100672,30/12/2013,2013,12,139,65," $7,117.50 "
1463,3300594,29/12/2013,2013,12,146,285," $94,208.33 "
1443,3891827,29/12/2013,2013,12,223,59," $8,276.39 "
1219,3857135,28/12/2013,2013,12,274,79," $29,474.90 "
1955,3623688,28/12/2013,2013,12,276,250," $53,625.00 "
1887,3059047,28/12/2013,2013,12,172,73," $24,906.27 "
1600,3104276,28/12/2013,2013,12,166,27," $8,662.50 "
1945,3517190,27/12/2013,2013,12,239,218," $44,216.12 "
1612,3813288,27/12/2013,2013,12,124,88," $10,648.00 "
1856,3523257,27/12/2013,2013,12,191,295," $90,860.00 "
1611,3297270,26/12/2013,2013,12,259,90," $36,590.40 "
1979,3301438,26/12/2013,2013,12,222,268," $25,326.27 "
1790,3589842,26/12/2013,2013,12,170,116," $33,968.08 "
1395,3717503,26/12/2013,2013,12,230,245," $53,882.18 "
1465,3033289,25/12/2013,2013,12,157,168," $64,162.56 "
1375,3658002,25/12/2013,2013,12,107,276," $23,811.27 "
1520,3875619,25/12/2013,2013,12,227,20," $1,546.36 "
1447,3468877,25/12/2013,2013,12,131,206," $90,382.50 "
1794,3194212,25/12/2013,2013,12,259,146," $59,357.76 "
1801,3549014,24/12/2013,2013,12,157,232," $88,605.44 "
1947,3793054,24/12/2013,2013,12,117,300," $138,160.00 "
1503,3722142,23/12/2013,2013,12,119,36," $12,904.30 "
1269,3298026,23/12/2013,2013,12,191,246," $75,768.00 "
1794,3990378,23/12/2013,2013,12,193,260," $26,325.00 "
1443,3595042,23/12/2013,2013,12,157,29," $11,075.68 "
1919,3153454,22/12/2013,2013,12,107,191," $16,478.09 "
1235,3959026,22/12/2013,2013,12,169,222," $44,542.08 "
1979,3918383,22/12/2013,2013,12,105,162," $78,075.00 "
1919,3886706,21/12/2013,2013,12,157,232," $88,605.44 "
1038,3375547,21/12/2013,2013,12,157,93," $35,518.56 "
1187,3277503,21/12/2013,2013,12,100,217," $84,958.79 "
1551,3788892,21/12/2013,2013,12,146,35," $11,569.44 "
1677,3594548,20/12/2013,2013,12,246,14, $635.25 
1226,3102238,20/12/2013,2013,12,203,243," $16,223.56 "
1077,3126896,20/12/2013,2013,12,227,21," $1,623.68 "
1395,3856127,20/12/2013,2013,12,288,258," $42,397.61 "
1887,3407875,20/12/2013,2013,12,193,89," $9,011.25 "
1183,3135461,19/12/2013,2013,12,276,278," $59,631.00 "
1463,3071837,19/12/2013,2013,12,173,126," $63,557.11 "
1613,3577455,19/12/2013,2013,12,230,33," $7,257.60 "
1806,3865889,19/12/2013,2013,12,246,189," $8,575.88 "
1184,3004111,19/12/2013,2013,12,139,146," $15,987.00 "
1432,3751301,19/12/2013,2013,12,288,78," $12,817.88 "
1038,3243904,19/12/2013,2013,12,246,55," $2,495.63 "
1955,3864031,18/12/2013,2013,12,216,230," $103,653.33 "
1443,3407756,18/12/2013,2013,12,197,173," $6,951.45 "
1478,3044570,18/12/2013,2013,12,222,46," $4,347.05 "
1467,3494756,17/12/2013,2013,12,216,15," $6,760.00 "
1575,3262419,17/12/2013,2013,12,183,105," $26,617.50 "
1584,3614088,17/12/2013,2013,12,125,234," $34,749.00 "
1856,3007128,17/12/2013,2013,12,149,171," $33,839.00 "
1894,3796288,17/12/2013,2013,12,148,172," $27,031.95 "
1392,3527957,17/12/2013,2013,12,204,2, $433.13 
1281,3352210,16/12/2013,2013,12,250,273," $97,618.18 "
1269,3071489,16/12/2013,2013,12,140,79," $36,278.63 "
1815,3982519,15/12/2013,2013,12,148,64," $10,058.40 "
1463,3419978,15/12/2013,2013,12,186,60," $14,868.56 "
1614,3279209,15/12/2013,2013,12,288,49," $8,052.26 "
1838,3624702,15/12/2013,2013,12,148,293," $46,048.61 "
1606,3204010,15/12/2013,2013,12,250,38," $13,587.88 "
1038,3259235,15/12/2013,2013,12,206,49," $16,072.00 "
1104,3872362,14/12/2013,2013,12,222,82," $7,749.08 "
1612,3164904,14/12/2013,2013,12,186,142," $35,188.93 "
1575,3706196,14/12/2013,2013,12,280,182," $70,664.53 "
1331,3795376,14/12/2013,2013,12,146,204," $67,433.33 "
1919,3360113,14/12/2013,2013,12,124,91," $11,011.00 "
1520,3443485,14/12/2013,2013,12,197,104," $4,178.91 "
1750,3665307,14/12/2013,2013,12,124,6, $726.00 
1682,3850203,14/12/2013,2013,12,225,99," $10,621.11 "
1979,3186113,13/12/2013,2013,12,207,47," $24,250.49 "
1628,3842056,13/12/2013,2013,12,206,19," $6,232.00 "
1052,3913544,13/12/2013,2013,12,166,38," $12,191.67 "
1432,3246115,12/12/2013,2013,12,169,273," $54,774.72 "
1191,3481157,12/12/2013,2013,12,157,3," $1,145.76 "
1973,3503158,11/12/2013,2013,12,100,49," $19,184.24 "
1386,3774852,11/12/2013,2013,12,173,13," $6,557.48 "
1412,3275646,10/12/2013,2013,12,299,258," $61,095.83 "
1478,3210576,10/12/2013,2013,12,108,289," $19,074.00 "
1257,3463595,10/12/2013,2013,12,166,196," $62,883.33 "
1909,3221154,10/12/2013,2013,12,133,284," $67,339.56 "
1760,3981176,10/12/2013,2013,12,157,207," $79,057.44 "
1958,3413937,10/12/2013,2013,12,246,141," $6,397.88 "
1465,3982458,9/12/2013,2013,12,215,44," $11,731.20 "
1137,3836993,9/12/2013,2013,12,169,223," $44,742.72 "
1617,3194849,9/12/2013,2013,12,227,283," $21,881.05 "
1979,3818446,9/12/2013,2013,12,260,60," $12,784.09 "
1955,3638123,9/12/2013,2013,12,139,32," $3,504.00 "
1183,3586668,9/12/2013,2013,12,267,257," $69,705.41 "
1955,3343322,9/12/2013,2013,12,157,295," $112,666.40 "
1806,3128135,9/12/2013,2013,12,216,132," $59,488.00 "
1569,3936485,8/12/2013,2013,12,214,191," $35,552.05 "
1591,3499705,8/12/2013,2013,12,131,219," $96,086.25 "
1677,3636277,8/12/2013,2013,12,107,224," $19,325.09 "
1815,3107753,8/12/2013,2013,12,166,14," $4,491.67 "
1586,3633260,7/12/2013,2013,12,184,108," $47,544.55 "
1750,3460583,7/12/2013,2013,12,166,224," $71,866.67 "
1945,3272651,7/12/2013,2013,12,148,28," $4,400.55 "
1806,3099280,7/12/2013,2013,12,106,272," $91,044.44 "
1917,3491316,6/12/2013,2013,12,203,136," $9,079.85 "
1392,3183692,6/12/2013,2013,12,166,112," $35,933.33 "
1613,3773684,6/12/2013,2013,12,292,136," $42,925.00 "
1803,3498089,6/12/2013,2013,12,196,266," $41,562.50 "
1235,3312402,6/12/2013,2013,12,250,91," $32,539.39 "
1919,3782940,5/12/2013,2013,12,106,73," $24,434.72 "
1838,3934617,4/12/2013,2013,12,157,205," $78,293.60 "
1815,3221332,4/12/2013,2013,12,204,202," $43,745.63 "
1917,3421910,4/12/2013,2013,12,173,161," $81,211.86 "
1611,3983995,4/12/2013,2013,12,267,211," $57,228.95 "
1331,3580405,2/12/2013,2013,12,281,121," $26,888.89 "
1614,3971800,2/12/2013,2013,12,108,6, $396.00 
1606,3965972,1/12/2013,2013,12,124,163," $19,723.00 "
1465,3392800,1/12/2013,2013,12,251,184," $40,888.89 "
1591,3374428,1/12/2013,2013,12,206,249," $81,672.00 "
1465,3210349,30/11/2013,2013,11,173,124," $62,548.26 "
1629,3009001,30/11/2013,2013,11,281,21," $4,666.67 "
1158,3038950,30/11/2013,2013,11,206,100," $32,800.00 "
1614,3871423,30/11/2013,2013,11,285,275," $42,333.33 "
1894,3791932,29/11/2013,2013,11,119,45," $16,130.38 "
1259,3321024,29/11/2013,2013,11,148,273," $42,905.36 "
1958,3368992,28/11/2013,2013,11,157,134," $51,177.28 "
1392,3823028,28/11/2013,2013,11,246,258," $11,706.75 "
1455,3015115,28/11/2013,2013,11,227,249," $19,252.23 "
1887,3566700,27/11/2013,2013,11,124,94," $11,374.00 "
1464,3875437,27/11/2013,2013,11,102,73," $23,962.25 "
1838,3771318,27/11/2013,2013,11,141,75," $17,427.27 "
1794,3696943,27/11/2013,2013,11,107,199," $17,168.27 "
1520,3195163,27/11/2013,2013,11,166,28," $8,983.33 "
1166,3602994,27/11/2013,2013,11,206,294," $96,432.00 "
1995,3557746,26/11/2013,2013,11,250,219," $78,309.09 "
1750,3935958,26/11/2013,2013,11,260,275," $58,593.75 "
1721,3215152,26/11/2013,2013,11,210,119," $13,793.18 "
1794,3499025,26/11/2013,2013,11,125,116," $17,226.00 "
1628,3925696,25/11/2013,2013,11,281,266," $59,111.11 "
1478,3651348,25/11/2013,2013,11,148,265," $41,648.06 "
1606,3392275,25/11/2013,2013,11,166,242," $77,641.67 "
1176,3773871,25/11/2013,2013,11,216,151," $68,050.67 "
1269,3454513,25/11/2013,2013,11,166,243," $77,962.50 "
1467,3199196,24/11/2013,2013,11,184,134," $58,990.45 "
1801,3414767,24/11/2013,2013,11,108,291," $19,206.00 "
1257,3393470,24/11/2013,2013,11,292,80," $25,250.00 "
1104,3879181,23/11/2013,2013,11,268,285," $37,184.73 "
1801,3237077,23/11/2013,2013,11,172,22," $7,506.00 "
1735,3638200,22/11/2013,2013,11,133,109," $25,845.11 "
1586,3761227,22/11/2013,2013,11,193,98," $9,922.50 "
1251,3873183,22/11/2013,2013,11,251,200," $44,444.44 "
1803,3282375,22/11/2013,2013,11,251,241," $53,555.56 "
1630,3958059,22/11/2013,2013,11,187,259," $106,190.00 "
1614,3200012,21/11/2013,2013,11,110,6, $780.00 
