Year,Month,Account,Product code, Budget 
2010,1,1038,250," 72,201 "
2010,1,1038,254," 72,621 "
2010,1,1054,159," 29,391 "
2010,1,1054,169," 37,810 "
2010,1,1059,170," 39,471 "
2010,1,1077,139," 16,963 "
2010,1,1104,280," 4,500 "
2010,1,1126,119," 19,277 "
2010,1,1130,148," 4,715 "
2010,1,1130,217," 109,782 "
2010,1,1138,183," 3,155 "
2010,1,1138,260," 26,906 "
2010,1,1148,110," 9,945 "
2010,1,1148,254," 11,086 "
2010,1,1158,225," 16,116 "
2010,1,1158,281," 31,584 "
2010,1,1166,169," 27,816 "
2010,1,1176,108," 1,836 "
2010,1,1176,157," 13,888 "
2010,1,1176,170," 7,929 "
2010,1,1183,239," 9,590 "
2010,1,1187,157," 4,177 "
2010,1,1187,274," 10,045 "
2010,1,1219,184," 47,788 "
2010,1,1226,186," 25,033 "
2010,1,1251,141," 57,350 "
2010,1,1251,157," 40,875 "
2010,1,1257,217," 42,252 "
2010,1,1257,280," 3,276 "
2010,1,1259,184," 26,061 "
2010,1,1259,225," 15,263 "
2010,1,1259,284," 2,208 "
2010,1,1269,106," 123,440 "
2010,1,1375,169," 28,103 "
2010,1,1375,187," 6,150 "
2010,1,1375,197," 9,962 "
2010,1,1375,210," 2,295 "
2010,1,1386,251," 6,032 "
2010,1,1392,184," 84,483 "
2010,1,1395,122," 24,187 "
2010,1,1412,113," 29,286 "
2010,1,1412,246," 4,514 "
2010,1,1432,210," 24,820 "
2010,1,1441,146," 29,393 "
2010,1,1441,246," 7,305 "
2010,1,1441,261," 96,433 "
2010,1,1443,124," 15,206 "
2010,1,1443,197, 91 
2010,1,1447,157," 19,557 "
2010,1,1447,243," 24,300 "
2010,1,1455,251," 25,458 "
2010,1,1463,183," 55,924 "
2010,1,1463,271," 59,248 "
2010,1,1464,140," 24,010 "
2010,1,1464,288," 27,192 "
2010,1,1465,243," 76,582 "
2010,1,1465,251," 41,164 "
2010,1,1478,118," 48,854 "
2010,1,1478,210," 12,333 "
2010,1,1478,223," 12,647 "
2010,1,1496,118," 38,804 "
2010,1,1496,140," 57,967 "
2010,1,1496,217," 12,359 "
2010,1,1503,166," 51,282 "
2010,1,1503,228, 536 
2010,1,1503,230," 20,664 "
2010,1,1520,186," 59,808 "
2010,1,1551,172," 14,658 "
2010,1,1551,173," 20,032 "
2010,1,1551,235," 14,535 "
2010,1,1569,172," 16,235 "
2010,1,1575,215," 37,913 "
2010,1,1584,166," 22,176 "
2010,1,1584,217," 12,412 "
2010,1,1586,119," 14,056 "
2010,1,1591,131," 21,597 "
2010,1,1591,157, 265 
2010,1,1591,239," 20,204 "
2010,1,1600,255," 33,824 "
2010,1,1606,141," 74,716 "
2010,1,1606,255," 78,300 "
2010,1,1608,157," 40,622 "
2010,1,1611,146," 43,580 "
2010,1,1611,166," 53,592 "
2010,1,1611,267," 6,962 "
2010,1,1614,255," 26,636 "
2010,1,1617,246," 7,837 "
2010,1,1617,288," 36,805 "
2010,1,1629,141," 22,429 "
2010,1,1629,254," 5,521 "
2010,1,1630,107," 3,741 "
2010,1,1630,140," 38,862 "
2010,1,1630,170," 4,906 "
2010,1,1630,215," 33,840 "
2010,1,1630,268," 23,294 "
2010,1,1677,133," 60,383 "
2010,1,1677,280," 75,834 "
2010,1,1682,271," 39,537 "
2010,1,1715,141," 5,591 "
2010,1,1715,299," 37,936 "
2010,1,1721,106," 40,006 "
2010,1,1721,228," 8,914 "
2010,1,1750,124," 14,726 "
2010,1,1750,157," 73,090 "
2010,1,1750,227," 13,058 "
2010,1,1760,217," 33,063 "
2010,1,1794,261," 71,010 "
2010,1,1801,105," 26,603 "
2010,1,1801,220," 57,163 "
2010,1,1806,119," 14,604 "
2010,1,1815,260," 29,989 "
2010,1,1815,276," 14,952 "
2010,1,1856,276," 41,463 "
2010,1,1864,159," 33,936 "
2010,1,1864,210," 7,129 "
2010,1,1886,246," 5,954 "
2010,1,1886,276," 35,655 "
2010,1,1894,173," 51,989 "
2010,1,1894,187," 47,702 "
2010,1,1909,148," 35,745 "
2010,1,1917,207," 61,795 "
2010,1,1936,183," 22,849 "
2010,1,1945,133, 267 
2010,1,1945,281," 26,496 "
2010,1,1947,139," 7,381 "
2010,1,1955,286," 41,918 "
2010,1,1973,292," 24,998 "
2010,1,1979,268," 33,776 "
2010,1,1995,124," 35,828 "
2010,2,1038,286," 51,593 "
2010,2,1054,102," 54,096 "
2010,2,1054,173," 35,400 "
2010,2,1054,203," 12,529 "
2010,2,1054,220," 27,731 "
2010,2,1054,230," 16,178 "
2010,2,1054,299," 47,684 "
2010,2,1092,166," 38,623 "
2010,2,1130,251," 23,040 "
2010,2,1130,296," 39,889 "
2010,2,1148,146," 73,399 "
2010,2,1148,187," 71,385 "
2010,2,1166,148," 1,976 "
2010,2,1176,110," 9,450 "
2010,2,1183,271," 30,728 "
2010,2,1184,122," 53,399 "
2010,2,1184,276," 27,225 "
2010,2,1219,172," 88,300 "
2010,2,1219,216," 14,040 "
2010,2,1226,259," 107,940 "
2010,2,1235,193," 9,550 "
2010,2,1251,252," 52,841 "
2010,2,1257,286," 12,548 "
2010,2,1259,222," 1,598 "
2010,2,1259,292," 54,086 "
2010,2,1269,281," 12,288 "
2010,2,1281,105," 65,887 "
2010,2,1281,288," 21,550 "
2010,2,1329,122," 54,587 "
2010,2,1329,203," 5,457 "
2010,2,1375,119," 10,124 "
2010,2,1386,110," 1,400 "
2010,2,1386,214, 189 
2010,2,1386,285," 5,588 "
2010,2,1392,125," 37,752 "
2010,2,1392,197," 8,048 "
2010,2,1392,250," 1,082 "
2010,2,1395,281," 5,803 "
2010,2,1441,148," 42,220 "
2010,2,1443,250," 23,332 "
2010,2,1443,292," 24,240 "
2010,2,1447,166," 13,398 "
2010,2,1454,148," 32,443 "
2010,2,1454,193," 30,011 "
2010,2,1454,204," 8,008 "
2010,2,1455,114," 21,411 "
2010,2,1455,148," 20,879 "
2010,2,1455,260," 30,000 "
2010,2,1463,286," 56,935 "
2010,2,1464,173," 34,032 "
2010,2,1464,225," 15,421 "
2010,2,1464,259," 13,818 "
2010,2,1464,299," 10,463 "
2010,2,1465,100," 60,078 "
2010,2,1465,191," 76,636 "
2010,2,1467,228," 14,145 "
2010,2,1496,214," 22,523 "
2010,2,1522,102," 4,363 "
2010,2,1522,113," 14,677 "
2010,2,1522,124," 29,069 "
2010,2,1522,140," 5,488 "
2010,2,1522,141," 70,801 "
2010,2,1522,186," 39,635 "
2010,2,1522,206," 10,168 "
2010,2,1522,228," 20,909 "
2010,2,1551,288," 26,883 "
2010,2,1569,230," 55,209 "
2010,2,1575,125," 27,562 "
2010,2,1584,105," 7,287 "
2010,2,1584,243," 35,169 "
2010,2,1587,133," 7,936 "
2010,2,1587,203," 2,588 "
2010,2,1587,281," 7,027 "
2010,2,1591,107," 23,036 "
2010,2,1591,250," 50,707 "
2010,2,1600,259," 1,792 "
2010,2,1608,288," 16,366 "
2010,2,1612,124," 3,341 "
2010,2,1613,281," 29,881 "
2010,2,1614,125," 52,272 "
2010,2,1614,210," 2,597 "
2010,2,1614,216," 44,616 "
2010,2,1614,292," 43,051 "
2010,2,1628,102," 42,269 "
2010,2,1628,107," 21,809 "
2010,2,1629,148," 16,482 "
2010,2,1629,180," 6,958 "
2010,2,1629,183," 45,855 "
2010,2,1677,210," 11,127 "
2010,2,1682,133," 19,352 "
2010,2,1693,124," 17,640 "
2010,2,1693,139, 219 
2010,2,1693,180," 10,829 "
2010,2,1715,107," 8,354 "
2010,2,1760,157," 4,297 "
2010,2,1760,172," 50,040 "
2010,2,1760,206," 58,384 "
2010,2,1760,285," 37,973 "
2010,2,1794,207," 30,144 "
2010,2,1803,117," 25,957 "
2010,2,1806,100," 29,958 "
2010,2,1806,172," 79,814 "
2010,2,1806,288," 14,871 "
2010,2,1838,204," 28,387 "
2010,2,1856,227," 4,221 "
2010,2,1864,239," 35,939 "
2010,2,1864,274," 41,974 "
2010,2,1887,118," 28,422 "
2010,2,1887,203," 4,896 "
2010,2,1917,207," 45,216 "
2010,2,1919,106," 35,969 "
2010,2,1945,139," 9,928 "
2010,2,1945,186," 21,293 "
2010,2,1947,246, 351 
2010,2,1955,108," 10,272 "
2010,2,1958,166," 13,745 "
2010,2,1979,100," 68,548 "
2010,2,1979,157," 45,905 "
2010,2,1979,268," 18,367 "
2010,2,1995,108," 11,913 "
2010,2,1995,114, 404 
2010,3,1038,193," 20,250 "
2010,3,1038,255," 66,528 "
2010,3,1059,173," 35,084 "
2010,3,1092,133," 42,098 "
2010,3,1092,159," 18,117 "
2010,3,1092,173," 79,015 "
2010,3,1092,215," 13,331 "
2010,3,1092,222," 11,403 "
2010,3,1104,196," 16,398 "
2010,3,1126,146," 58,477 "
2010,3,1126,187," 50,318 "
2010,3,1130,159, 636 
2010,3,1130,217," 17,691 "
2010,3,1137,180," 18,620 "
2010,3,1137,271," 9,568 "
2010,3,1138,173," 67,139 "
2010,3,1158,114," 17,094 "
2010,3,1158,183," 28,054 "
2010,3,1166,107," 7,964 "
2010,3,1183,252," 9,059 "
2010,3,1184,106," 14,641 "
2010,3,1184,246," 1,080 "
2010,3,1190,173," 80,128 "
2010,3,1190,207," 2,010 "
2010,3,1190,296," 24,514 "
2010,3,1191,173," 88,095 "
2010,3,1219,250," 65,436 "
2010,3,1226,102," 41,935 "
2010,3,1235,173," 8,952 "
2010,3,1257,100," 90,440 "
2010,3,1259,106," 26,242 "
2010,3,1259,107," 18,656 "
2010,3,1259,203," 7,172 "
2010,3,1259,260," 5,000 "
2010,3,1259,267," 28,443 "
2010,3,1269,197," 1,197 "
2010,3,1329,284," 14,358 "
2010,3,1375,124, 702 
2010,3,1375,148," 22,239 "
2010,3,1375,254," 11,399 "
2010,3,1386,102," 34,906 "
2010,3,1392,110," 10,633 "
2010,3,1392,131," 93,600 "
2010,3,1392,254," 40,127 "
2010,3,1395,122," 100,401 "
2010,3,1432,141," 54,049 "
2010,3,1432,250," 103,545 "
2010,3,1441,107," 21,374 "
2010,3,1441,246," 3,402 "
2010,3,1443,114," 4,773 "
2010,3,1443,299," 13,776 "
2010,3,1447,124," 17,082 "
2010,3,1454,148," 42,704 "
2010,3,1455,280," 49,877 "
2010,3,1455,288," 1,762 "
2010,3,1463,204," 7,392 "
2010,3,1463,274," 109,634 "
2010,3,1464,250," 18,290 "
2010,3,1478,114," 18,858 "
2010,3,1478,157," 81,766 "
2010,3,1478,235," 24,367 "
2010,3,1496,285," 10,391 "
2010,3,1503,217," 43,157 "
2010,3,1520,187," 63,140 "
2010,3,1522,141," 9,159 "
2010,3,1522,251," 24,785 "
2010,3,1569,173," 68,006 "
2010,3,1569,292," 5,950 "
2010,3,1575,274," 5,166 "
2010,3,1584,271," 29,550 "
2010,3,1586,217," 35,438 "
2010,3,1587,131," 1,456 "
2010,3,1587,133," 29,876 "
2010,3,1587,227," 20,554 "
2010,3,1591,117," 86,176 "
2010,3,1591,222," 7,804 "
2010,3,1600,193," 9,842 "
2010,3,1606,148," 23,553 "
2010,3,1608,203," 15,895 "
2010,3,1611,140," 43,218 "
2010,3,1611,292," 16,362 "
2010,3,1612,148," 42,192 "
2010,3,1613,203," 12,982 "
2010,3,1614,108," 10,416 "
2010,3,1614,117," 51,998 "
2010,3,1628,280," 68,942 "
2010,3,1629,146," 34,915 "
2010,3,1629,187," 87,665 "
2010,3,1682,102," 28,392 "
2010,3,1693,148," 3,879 "
2010,3,1693,157," 30,005 "
2010,3,1715,215," 24,026 "
2010,3,1735,106," 41,211 "
2010,3,1750,108," 8,012 "
2010,3,1750,118," 13,675 "
2010,3,1750,216," 41,184 "
2010,3,1760,133," 39,080 "
2010,3,1760,235," 25,415 "
2010,3,1760,267," 27,846 "
2010,3,1790,193," 1,404 "
2010,3,1794,108," 8,928 "
2010,3,1794,239," 36,803 "
2010,3,1803,166," 55,070 "
2010,3,1803,170," 40,742 "
2010,3,1803,220," 30,430 "
2010,3,1864,206," 4,562 "
2010,3,1886,131," 57,408 "
2010,3,1886,140," 47,163 "
2010,3,1887,107," 22,776 "
2010,3,1894,106," 64,684 "
2010,3,1917,149," 43,231 "
2010,3,1917,197," 7,069 "
2010,3,1917,225," 21,444 "
2010,3,1917,286," 67,335 "
2010,3,1936,105," 1,952 "
2010,3,1947,172," 18,399 "
2010,3,1955,119, 821 
2010,3,1955,124," 19,206 "
2010,3,1958,225," 11,613 "
2010,3,1979,166," 5,255 "
2010,3,1979,173," 5,179 "
2010,4,1038,122," 46,260 "
2010,4,1038,222," 11,218 "
2010,4,1052,227," 14,353 "
2010,4,1054,102," 61,049 "
2010,4,1054,110," 14,580 "
2010,4,1054,217," 125,547 "
2010,4,1054,254," 4,294 "
2010,4,1059,140," 5,987 "
2010,4,1104,149," 41,895 "
2010,4,1125,187," 46,064 "
2010,4,1125,281," 20,139 "
2010,4,1125,299," 34,720 "
2010,4,1126,124," 24,219 "
2010,4,1126,204," 36,540 "
2010,4,1130,114," 9,324 "
2010,4,1130,260," 36,625 "
2010,4,1137,100," 36,264 "
2010,4,1148,107," 10,439 "
2010,4,1148,255," 28,916 "
2010,4,1158,157," 51,321 "
2010,4,1158,227," 6,873 "
2010,4,1158,251," 30,720 "
2010,4,1158,285," 43,152 "
2010,4,1166,223," 21,706 "
2010,4,1176,107," 1,274 "
2010,4,1176,157," 30,380 "
2010,4,1176,180," 10,106 "
2010,4,1176,227," 4,253 "
2010,4,1183,118," 83,930 "
2010,4,1183,246," 7,811 "
2010,4,1187,261," 4,017 "
2010,4,1190,117," 71,592 "
2010,4,1190,214," 23,587 "
2010,4,1219,260," 29,875 "
2010,4,1219,285," 6,223 "
2010,4,1251,166," 31,416 "
2010,4,1257,110," 10,620 "
2010,4,1259,166," 30,492 "
2010,4,1269,222," 15,528 "
2010,4,1281,285," 4,247 "
2010,4,1329,159," 36,176 "
2010,4,1329,216," 47,580 "
2010,4,1331,119," 13,303 "
2010,4,1331,215," 11,351 "
2010,4,1375,119," 20,582 "
2010,4,1375,255," 67,284 "
2010,4,1375,260," 10,725 "
2010,4,1386,113," 27,904 "
2010,4,1386,261," 73,975 "
2010,4,1392,254," 28,263 "
2010,4,1432,187," 2,558 "
2010,4,1441,184," 43,806 "
2010,4,1443,180," 19,404 "
2010,4,1443,186," 32,699 "
2010,4,1454,173," 15,081 "
2010,4,1455,146," 55,163 "
2010,4,1463,206," 32,718 "
2010,4,1465,102," 44,440 "
2010,4,1465,186," 68,827 "
2010,4,1465,217," 63,033 "
2010,4,1467,100," 66,441 "
2010,4,1467,139," 16,352 "
2010,4,1467,157," 51,559 "
2010,4,1478,110," 20,610 "
2010,4,1478,172," 63,454 "
2010,4,1503,140," 41,846 "
2010,4,1520,108," 12,474 "
2010,4,1520,133," 64,554 "
2010,4,1520,246," 4,904 "
2010,4,1522,108," 15,089 "
2010,4,1522,206," 2,460 "
2010,4,1551,114," 32,856 "
2010,4,1551,180," 21,952 "
2010,4,1575,125," 18,773 "
2010,4,1575,217," 73,188 "
2010,4,1584,299," 9,068 "
2010,4,1586,105," 34,854 "
2010,4,1586,250," 13,423 "
2010,4,1587,102," 45,551 "
2010,4,1587,119," 84,977 "
2010,4,1606,217," 57,523 "
2010,4,1611,222," 14,437 "
2010,4,1611,281," 36,608 "
2010,4,1614,141," 17,466 "
2010,4,1614,227," 15,829 "
2010,4,1617,285," 36,407 "
2010,4,1628,118," 47,722 "
2010,4,1628,172," 61,716 "
2010,4,1628,203," 5,240 "
2010,4,1628,216," 57,947 "
2010,4,1629,149," 22,879 "
2010,4,1630,227," 12,005 "
2010,4,1682,203," 14,745 "
2010,4,1721,235," 23,035 "
2010,4,1735,166," 35,482 "
2010,4,1735,217," 47,909 "
2010,4,1735,250," 33,308 "
2010,4,1794,139," 3,723 "
2010,4,1794,166," 49,588 "
2010,4,1803,139," 19,674 "
2010,4,1803,141, 256 
2010,4,1803,217," 13,241 "
2010,4,1803,261," 78,243 "
2010,4,1803,285," 21,447 "
2010,4,1806,114," 2,361 "
2010,4,1806,148," 24,867 "
2010,4,1806,172," 31,866 "
2010,4,1838,216," 71,344 "
2010,4,1856,250," 10,694 "
2010,4,1864,243," 19,656 "
2010,4,1887,125," 22,275 "
2010,4,1909,148," 25,862 "
2010,4,1917,102," 47,995 "
2010,4,1917,131," 54,327 "
2010,4,1917,184," 22,187 "
2010,4,1936,299," 36,580 "
2010,4,1945,157," 23,610 "
2010,4,1947,106," 39,855 "
2010,4,1947,281," 16,416 "
2010,4,1958,108," 15,723 "
2010,4,1958,243," 47,439 "
2010,4,1979,124," 10,247 "
2010,4,1979,141," 18,555 "
2010,4,1995,246, 770 
2010,5,1038,225," 21,725 "
2010,5,1052,255," 60,480 "
2010,5,1054,180," 16,170 "
2010,5,1054,296," 57,103 "
2010,5,1059,246," 1,281 "
2010,5,1077,223," 9,797 "
2010,5,1077,246, 324 
2010,5,1092,210," 1,105 "
2010,5,1104,180," 4,971 "
2010,5,1126,139," 8,738 "
2010,5,1137,133," 53,350 "
2010,5,1137,149," 22,656 "
2010,5,1137,288," 22,773 "
2010,5,1148,122," 47,311 "
2010,5,1158,107," 13,658 "
2010,5,1158,157," 25,133 "
2010,5,1166,166," 31,970 "
2010,5,1166,184," 56,322 "
2010,5,1166,267," 51,051 "
2010,5,1166,274," 63,025 "
2010,5,1176,173," 69,290 "
2010,5,1176,183," 37,180 "
2010,5,1183,124," 15,345 "
2010,5,1183,139," 1,708 "
2010,5,1184,299," 11,470 "
2010,5,1187,131," 9,126 "
2010,5,1191,166," 18,144 "
2010,5,1191,228," 25,585 "
2010,5,1191,296," 55,208 "
2010,5,1219,166," 28,875 "
2010,5,1226,243," 4,212 "
2010,5,1235,169," 34,656 "
2010,5,1251,274," 118,388 "
2010,5,1257,215," 16,732 "
2010,5,1259,285," 24,003 "
2010,5,1269,141," 61,131 "
2010,5,1269,157," 72,261 "
2010,5,1329,140," 27,222 "
2010,5,1375,180," 9,028 "
2010,5,1375,191," 69,277 "
2010,5,1386,215," 13,310 "
2010,5,1386,246," 2,248 "
2010,5,1386,255," 57,568 "
2010,5,1386,281," 26,738 "
2010,5,1392,148," 10,160 "
2010,5,1392,292," 34,340 "
2010,5,1441,251," 3,665 "
2010,5,1447,148," 34,341 "
2010,5,1455,166," 7,938 "
2010,5,1463,251," 14,040 "
2010,5,1463,285," 14,224 "
2010,5,1465,225," 4,845 "
2010,5,1467,119," 55,220 "
2010,5,1496,210," 17,255 "
2010,5,1496,228," 22,495 "
2010,5,1520,180," 18,326 "
2010,5,1520,203," 18,768 "
2010,5,1520,252," 1,235 "
2010,5,1522,122," 73,502 "
2010,5,1522,250," 10,546 "
2010,5,1551,110," 1,533 "
2010,5,1551,204," 34,440 "
2010,5,1551,246," 8,073 "
2010,5,1575,206," 21,894 "
2010,5,1584,243," 49,344 "
2010,5,1586,108," 13,728 "
2010,5,1586,267," 43,316 "
2010,5,1587,166," 22,107 "
2010,5,1591,102," 52,759 "
2010,5,1591,106," 55,824 "
2010,5,1600,157," 34,666 "
2010,5,1606,131," 127,842 "
2010,5,1606,223," 26,260 "
2010,5,1606,225," 12,419 "
2010,5,1606,285," 5,893 "
2010,5,1608,186," 3,639 "
2010,5,1611,183," 9,708 "
2010,5,1617,268, 506 
2010,5,1617,299," 39,494 "
2010,5,1628,102," 41,158 "
2010,5,1628,260," 17,111 "
2010,5,1629,260," 11,125 "
2010,5,1630,184," 53,417 "
2010,5,1682,239," 41,734 "
2010,5,1693,296," 8,698 "
2010,5,1735,215," 10,340 "
2010,5,1750,124," 22,473 "
2010,5,1750,180," 12,473 "
2010,5,1790,259," 32,480 "
2010,5,1794,157," 19,790 "
2010,5,1803,193," 8,878 "
2010,5,1806,148," 1,129 "
2010,5,1806,180," 3,049 "
2010,5,1806,207," 82,896 "
2010,5,1838,118," 55,517 "
2010,5,1856,217," 65,805 "
2010,5,1856,271," 12,947 "
2010,5,1864,280," 49,840 "
2010,5,1886,102," 8,080 "
2010,5,1886,235," 1,983 "
2010,5,1894,288," 25,375 "
2010,5,1917,299, 482 
2010,5,1919,210," 4,609 "
2010,5,1919,251," 33,740 "
2010,5,1936,113," 23,424 "
2010,5,1936,267," 21,393 "
2010,5,1945,170," 23,841 "
2010,5,1945,230," 9,946 "
2010,5,1955,210," 5,780 "
2010,5,1955,260, 125 
2010,5,1973,148, 318 
2010,5,1995,286," 20,216 "
2010,6,1038,140," 87,309 "
2010,6,1038,246," 3,512 "
2010,6,1059,124," 22,050 "
2010,6,1059,131," 85,410 "
2010,6,1077,193," 18,306 "
